service_name,suburb,state,address,lat,lng,day,start_time,end_time,shift_status,van_asset
Ruah Community Centre Engagement Hub,Northbridge,WA,247 James Street,-31.946398,115.852985,Monday,9:00 am,11:00 am,Shift Status,Van Asset
The Third Place,Subiaco,WA,325 Barker Road,-31.949038,115.82331,Wednesday,12:00 pm,2:00 pm,Shift Status,Van Asset
Tranby Hub Indoor Laundry,Perth,WA,unit 6/5 Aberdeen Street,-31.950867,115.867059,Monday,9:00 am,12:00 pm,Shift Status,Van Asset
Tranby Hub Indoor Laundry,Perth,WA,unit 6/5 Aberdeen Street,-31.950867,115.867059,Saturday,8:00 am,11:00 am,Shift Status,Van Asset
Tranby Hub Indoor Laundry,Perth,WA,unit 6/5 Aberdeen Street,-31.950867,115.867059,Sunday,12:30 pm,3:30 pm,Shift Status,Van Asset
Tranby Hub Indoor Laundry,Perth,WA,unit 6/5 Aberdeen Street,-31.950867,115.867059,Thursday,9:00 am,12:00 pm,Shift Status,Van Asset
Tranby Hub Indoor Laundry,Perth,WA,unit 6/5 Aberdeen Street,-31.950867,115.867059,Wednesday,9:00 am,12:00 pm,Shift Status,Van Asset
Moore St Hub,Perth,WA,Moore Street,-31.953039,115.866992,Sunday,8:00 am,11:00 am,Shift Status,Van Asset
Moore St Hub,Perth,WA,Moore Street,-31.953039,115.866992,Thursday,5:30 pm,7:30 pm,Shift Status,Van Asset
Moore St Hub,Perth,WA,Moore Street,-31.953039,115.866992,Tuesday,5:30 pm,7:30 pm,Shift Status,Van Asset
St Marys Outreach Meal,East Victoria Park,WA,248 Gloucester Street,-31.983306,115.898952,Monday,6:00 pm,8:00 pm,Shift Status,Van Asset
The Haven Centre,East Victoria Park,WA,879 Albany Highway,-31.98608,115.903708,Saturday,9:00 am,11:00 am,Shift Status,Van Asset
The Shopfront,Bentley,WA,59 John Street,-31.997243,115.924454,Tuesday,11:30 am,1:30 pm,Shift Status,Van Asset
Cannington Community Garden,Cannington,WA,142 Wharf Street,-32.013106,115.935926,Friday,5:00 pm,7:00 pm,Shift Status,Van Asset
St Pats,Fremantle,WA,12 Queen Victoria Street,-32.049181,115.750029,Friday,7:30 am,10:30 am,Shift Status,Van Asset
St Pats,Fremantle,WA,12 Queen Victoria Street,-32.049181,115.750029,Wednesday,7:30 am,10:30 am,Shift Status,Van Asset
Beach St Hub,Fremantle,WA,1 Beach Street,-32.04924,115.74907,Saturday,7:00 am,9:00 am,Shift Status,Van Asset
Beach St Hub,Fremantle,WA,1 Beach Street,-32.04924,115.74907,Sunday,8:00 am,10:00 am,Shift Status,Van Asset
